record_id,operation,data_store,is_first_query,exec_time,num_records
1662374500779,query_type_2__7x,cloudwatch_logs,FALSE,3294,
1662374504309,query_type_2__7x,cloudwatch_logs,FALSE,3308,
1662374507829,query_type_2__7x,cloudwatch_logs,FALSE,3316,
1662374511369,query_type_2__7x,cloudwatch_logs,FALSE,2213,
1662374513773,query_type_2__7x,elasticsearch,TRUE,1741,
1662374515771,query_type_2__7x,elasticsearch,FALSE,419,
1662374516472,query_type_2__7x,elasticsearch,FALSE,436,
1662374517189,query_type_2__7x,elasticsearch,FALSE,429,
1662374517852,query_type_2__7x,elasticsearch,FALSE,417,
1662374518550,query_type_2__7x,elasticsearch,FALSE,478,
1662374519256,query_type_2__7x,elasticsearch,FALSE,439,
1662374520313,query_type_2__7x,elasticsearch,FALSE,436,
1662374520974,query_type_2__7x,elasticsearch,FALSE,478,
1662374521673,query_type_2__7x,elasticsearch,FALSE,513,
1662374522452,query_type_2__7x,rds,TRUE,6507,
1662374529150,query_type_2__7x,rds,FALSE,5672,
1662374535012,query_type_2__7x,rds,FALSE,5765,
1662374541014,query_type_2__7x,rds,FALSE,5790,
1662374547009,query_type_2__7x,rds,FALSE,5995,
1662374553178,query_type_2__7x,rds,FALSE,5976,
1662374559349,query_type_2__7x,rds,FALSE,5816,
1662374565353,query_type_2__7x,rds,FALSE,5736,
1662374571309,query_type_2__7x,rds,FALSE,5788,
1662374577295,query_type_2__7x,rds,FALSE,6231,
1662374583813,query_type_2__7x,ts,TRUE,4168,
1662374588255,query_type_2__7x,ts,FALSE,2139,
1662374590636,query_type_2__7x,ts,FALSE,1999,
1662374592872,query_type_2__7x,ts,FALSE,2201,
1662374595333,query_type_2__7x,ts,FALSE,1980,
1662374597572,query_type_2__7x,ts,FALSE,1940,
1662374599731,query_type_2__7x,ts,FALSE,2198,
1662374602174,query_type_2__7x,ts,FALSE,1939,
1662374604352,query_type_2__7x,ts,FALSE,2058,
1662374606657,query_type_2__7x,ts,FALSE,1897,
1662365225224,query_type_4__6x,cloudwatch_logs,TRUE,3423,
1662365228891,query_type_4__6x,cloudwatch_logs,FALSE,2291,
1662365231422,query_type_4__6x,cloudwatch_logs,FALSE,2246,
1662365233847,query_type_4__6x,cloudwatch_logs,FALSE,3284,
1662365237327,query_type_4__6x,cloudwatch_logs,FALSE,2216,
1662365239745,query_type_4__6x,cloudwatch_logs,FALSE,3214,
1662365243188,query_type_4__6x,cloudwatch_logs,FALSE,3224,
1662365246648,query_type_4__6x,cloudwatch_logs,FALSE,3169,
1662365250063,query_type_4__6x,cloudwatch_logs,FALSE,2223,
1662365252468,query_type_4__6x,cloudwatch_logs,FALSE,3221,
1662365255942,query_type_4__6x,elasticsearch,TRUE,346,
1662365256508,query_type_4__6x,elasticsearch,FALSE,142,
1662365256925,query_type_4__6x,elasticsearch,FALSE,161,
1662365257362,query_type_4__6x,elasticsearch,FALSE,201,
1662365257789,query_type_4__6x,elasticsearch,FALSE,159,
1662365258223,query_type_4__6x,elasticsearch,FALSE,179,
1662365258668,query_type_4__6x,elasticsearch,FALSE,141,
1662365259083,query_type_4__6x,elasticsearch,FALSE,179,
1662365259493,query_type_4__6x,elasticsearch,FALSE,161,
1662365259942,query_type_4__6x,elasticsearch,FALSE,178,
1662365260379,query_type_4__6x,rds,TRUE,46,
1662365260632,query_type_4__6x,rds,FALSE,58,
1662365260905,query_type_4__6x,rds,FALSE,40,
1662365261160,query_type_4__6x,rds,FALSE,20,
1662365261447,query_type_4__6x,rds,FALSE,39,
1662365261707,query_type_4__6x,rds,FALSE,41,
1662365262002,query_type_4__6x,rds,FALSE,40,
1662365262249,query_type_4__6x,rds,FALSE,40,
1662365262528,query_type_4__6x,rds,FALSE,4,
1662365262765,query_type_4__6x,rds,FALSE,20,
1662365263125,query_type_4__6x,ts,TRUE,659,
1662365264024,query_type_4__6x,ts,FALSE,170,
1662365264449,query_type_4__6x,ts,FALSE,190,
1662365264862,query_type_4__6x,ts,FALSE,227,
